costs1,costs2
1144.9554456238,1675.4973115237
1164.3006197519,1732.737054657
1066.656505091,1611.7270103962
1222.8028582891,2106.9045267531
1141.9542934489,1682.7299997563
1112.0814339246,1586.6200315745
1234.9967479612,1731.0205928881
1318.6354352128,1729.671225543
1191.0045538389,1830.9792196071
1292.2705813221,1679.8434959073
1529.7370162801,1645.5298550402
1397.3261417034,1664.0980992298
1089.1057439203,1658.6077908266
988.4160057855,1471.9969501763
1387.5100976504,1820.1319570341
1155.1030495649,1722.6490702506
1246.2557003417,1736.325257135
1293.3889981224,1685.5464947441
1182.0351661696,1630.8201551018
1454.7576297657,1894.0440339971
1250.072086664,1702.669083751
1138.3151653798,1910.9476269457
1117.7368648533,1669.8271097948
1001.683469492,1500.3591562704
1089.4108680602,1741.677536489
1118.844493953,1658.8761802119
1214.3057625814,1668.0427927355
1061.4559141007,1545.3732551389
1218.9306012935,1554.366593782
1207.8865249062,1649.2293174749
1372.5651154687,1874.604312328
1265.1555892128,1728.4970730411
1282.61466171,1785.9386521322
1048.5176038724,1751.038514917
1116.7244994519,1561.8406631346
1187.346014667,1712.3479276085
1217.3568435341,1630.266822195
1160.5323794997,1692.9593109062
1542.1447047053,2089.1889462821
1308.5704652345,1751.2495580478
1271.0410637164,1675.5132828172
1187.3302959461,1589.6258703098
1233.9300599121,1781.7065376799
1317.2544800508,1814.2403112585
1163.4931928527,1613.3289467086
1154.5178786488,1608.348743026
1207.2658755706,1668.7761563292
1232.1980579626,1696.6818459439
1265.1392374826,1715.2158725937
1194.210168552,1639.2170270506
1301.056018986,1718.5735683513
1177.4922202982,1673.146936714
1288.0900169865,1666.3955984697
1075.7872145059,1580.9961984199
1321.7262589884,1784.9279039222
1325.9915817014,1745.820918597
1118.6180294027,1554.4199624007
1107.6183249529,1583.2898002167
1360.6920197557,1803.6446435532
1214.2951545834,1619.2000160428
1326.0716365093,1959.6423460947
1236.757903226,1735.1266163139
1305.4258184822,1654.5064761137
1111.3743202002,1766.3659205319
1115.7939630131,1693.8981651458
1168.2905745277,1787.1464877591
1012.3806245796,1520.0729464142
1391.5787081262,1711.8278706484
1227.2305261941,1670.6360895435
1460.3447455449,1901.9098296351
1399.954509831,1576.359401276
1165.8518223007,1596.6663265597
1294.3992269778,1653.1473179875
1112.2072823846,1617.4480487223
1144.2860023947,1577.3226182687
1218.347165305,1783.7720452549
1262.826936921,1642.686313361
1167.991636458,1658.4630633856
1223.3333585703,1679.6799778934
1225.4041560932,1610.6559936646
1245.6786042736,1615.2624084874
1192.1661515348,1684.169671539
1374.5074533516,1806.2533778148
1025.8379663223,1522.6084233531
1122.9751119566,1767.3539397796
1407.542540008,1613.5886383211
1545.4996984767,1763.1182146266
1154.1081520007,1705.3820905338
1201.4352782032,1776.64448022
1112.731386841,1683.2871906104
1221.679166621,1617.8333572162
1535.9428848526,1817.2727371363
1421.9917525413,1685.8779312719
1154.6892692084,1789.6551609588
1533.6433775253,1884.4759632734
1186.9437853529,1689.6584823075
1097.2175198854,1569.7154465791
1161.7856282095,1641.1288447022
1130.2417589844,1588.9962069141
1158.5699120838,1632.2829360357
1107.7014862187,1584.0086266716
1392.9715079591,1687.9421116608
1124.8910456058,1594.6501486705
1253.4977001344,1663.5916561934
1100.3041873707,1625.9717339088
1427.2233006289,1774.8364873417
1191.045135724,1737.3611911102
1296.6184225637,1711.0359805483
1240.2474084788,1792.7105873081
1401.898568762,1882.3513004413
1135.7877445577,1623.4821934636
1196.4275869134,1674.4045552434
1359.3679517053,2022.3981355523
1244.4029938966,1592.1014397101
1220.4347477831,1759.9126230312
1126.2794036737,1645.2635327397
1233.0671605868,1778.4846537355
1208.7655980585,1614.5555851853
1032.8564026856,1662.6297045328
1182.4927040162,1624.6023659818
1156.1842890132,1674.1055608517
1330.2078750659,1724.1275246501
1314.475575636,1677.302768283
1177.9532094997,1727.0494813818
1280.6489512136,1655.8010780191
1374.9323494672,1684.2570493846
1282.4741377633,1703.7727916885
1174.9850633583,1640.9305742309
